CHAR,NAME
ア,a
イ,i
ウ,u
エ,e
オ,o
カ,ka
ガ,ga
キ,ki
ギ,gi
ク,ku
グ,gu
ケ,ke
ゲ,ge
コ,ko
ゴ,go
サ,sa
ザ,za
シ,si
ジ,zi
ス,su
ズ,zu
セ,se
ゼ,ze
ソ,so
ゾ,zo
タ,ta
ダ,da
チ,ti
ヂ,di
ツ,tu
ヅ,du
テ,te
デ,de
ト,to
ド,do
ナ,na
ニ,ni
ヌ,nu
ネ,ne
ノ,no
ハ,ha
バ,ba
パ,pa
ヒ,hi
ビ,bi
ピ,pi
フ,hu
ブ,bu
プ,pu
ヘ,he
ベ,be
ペ,pe
ホ,ho
ボ,bo
ポ,po
マ,ma
ミ,mi
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
ル,ru
レ,re
ロ,ro
ワ,wa
ヰ,wi
ヱ,we
ヲ,wo
ン,n
ヴ,vu
